date,ticker,status,is_buy,size,price,value,commission
2023-05-02,ISCTR,Completed,False,-22265.0,3.997492164041742,100242.46670535699,0.0
2023-05-03,AYGAZ,Completed,False,-1726.0,51.43082290559657,100411.51202037463,0.0
2023-05-03,FROTO,Completed,False,-2086.0,43.15332634838146,99805.35213462349,0.0
2023-05-03,BRSAN,Completed,True,931.0,105.0,97755.0,0.0
2023-05-03,DOAS,Completed,True,1298.0,78.02812397374517,101280.50491792122,0.0
2023-05-03,AKCNS,Completed,True,1706.0,58.61436462693917,99996.10605355822,0.0
2023-05-03,ALARK,Completed,True,1864.0,53.64161721114264,99987.97448156988,0.0
2023-05-11,BRSAN,Completed,False,-931.0,135.0,97755.0,0.0
2023-05-16,PGSUS,Completed,False,-1070.0,83.4765625,100112.74032592775,0.0
2023-05-31,AKCNS,Completed,False,-1706.0,75.69212169286193,99996.10605355822,0.0
2023-05-31,TTRAK,Completed,False,-434.0,294.57939789179244,100052.82756847283,0.0
2023-06-02,BRSAN,Completed,True,502.0,205.0,102910.0,0.0
2023-06-02,TTRAK,Completed,True,319.0,312.10740153084004,99562.26108833797,0.0
2023-06-02,PGSUS,Completed,True,1054.0,96.93920135498048,102173.91822814943,0.0
2023-06-02,AKCNS,Completed,True,1349.0,74.63079702101643,100676.94518135117,0.0
2023-06-02,CIMSA,Completed,True,6638.0,15.023266792297363,99724.4449672699,0.0
2023-06-06,ALARK,Completed,False,-1864.0,67.47701373562174,99987.97448156988,0.0
2023-06-06,DOAS,Completed,False,-1298.0,98.19641246054576,101280.50491792122,0.0
2023-06-06,THYAO,Completed,False,-847.0,160.20899781487486,99952.44795468208,0.0
2023-06-12,BRSAN,Completed,False,-502.0,280.0,102910.0,0.0
2023-06-13,PGSUS,Completed,False,-1054.0,121.90032958984376,102173.91822814943,0.0
2023-06-27,MGROS,Completed,False,-635.0,205.0475419675648,99974.35325959936,0.0
2023-06-27,TOASO,Completed,False,-655.0,195.7716398067588,100241.316613346,0.0
2023-07-04,AKCNS,Completed,False,-1349.0,87.94566555873993,100676.94518135117,0.0
2023-07-04,BRSAN,Completed,True,350.0,285.1000061035156,99785.00213623047,0.0
2023-07-04,TOASO,Completed,True,480.0,208.3968532808236,100030.48957479533,0.0
2023-07-04,PGSUS,Completed,True,743.0,134.52410888671875,99951.41290283203,0.0
2023-07-04,MGROS,Completed,True,474.0,210.85437255859372,99944.97259277343,0.0
2023-07-04,THYAO,Completed,True,486.0,205.63411254342816,99938.17869610609,0.0
2023-07-04,FROTO,Completed,True,1575.0,63.50171650283757,100015.20349196917,0.0
2023-07-04,AYGAZ,Completed,True,1297.0,77.56779687665657,100605.43254902358,0.0
2023-07-04,DOAS,Completed,True,806.0,125.17562466179916,100891.55347741013,0.0
2023-07-07,CIMSA,Completed,False,-6638.0,19.192660710633824,99724.4449672699,0.0
2023-07-10,TTRAK,Completed,False,-319.0,393.7010028587425,99562.26108833797,0.0
2023-07-21,DOAS,Completed,False,-806.0,158.5690125511447,100891.55347741013,0.0
2023-07-24,MGROS,Completed,False,-474.0,264.7341003417969,99944.97259277343,0.0
2023-07-25,AYGAZ,Completed,False,-1297.0,100.50088435928085,100605.43254902358,0.0
2023-07-31,PGSUS,Completed,False,-743.0,174.99388122558594,99951.41290283203,0.0
2023-08-02,TTRAK,Completed,True,172.0,584.2672517849974,100493.96730701954,0.0
2023-08-02,PGSUS,Completed,True,594.0,168.16026306152344,99887.19625854492,0.0
2023-08-02,MGROS,Completed,True,354.0,284.24883491173387,100624.08755875379,0.0
2023-08-02,AYGAZ,Completed,True,1044.0,96.53818522135415,100785.86537109374,0.0
2023-08-02,CIMSA,Completed,True,4069.0,24.63977244471493,100259.23407754504,0.0
2023-08-02,DOAS,Completed,True,615.0,163.39619120150817,100488.65758892753,0.0
2023-08-08,THYAO,Completed,False,-486.0,261.51191647943585,99938.17869610609,0.0
2023-08-11,BRSAN,Completed,False,-350.0,392.0,99785.00213623047,0.0
2023-08-23,TTRAK,Completed,False,-172.0,737.7222778914712,100493.96730701954,0.0
2023-08-24,DOAS,Completed,False,-615.0,219.1957922149123,100488.65758892753,0.0
2023-09-04,AYGAZ,Completed,False,-1044.0,103.70477397513828,100785.86537109374,0.0
2023-09-04,TOASO,Completed,False,-480.0,228.1439786788512,100030.48957479533,0.0
2023-09-04,BRSAN,Completed,True,119.0,865.0,102935.0,0.0
2023-09-04,TTRAK,Completed,True,127.0,783.4106746056916,99493.15567492283,0.0
2023-09-04,DOAS,Completed,True,515.0,193.98827098798512,99903.95955881233,0.0
2023-09-04,ALARK,Completed,True,808.0,123.90735955727358,100117.14652227705,0.0
2023-09-04,TKNSA,Completed,True,3866.0,26.100000381469727,100902.60147476196,0.0
2023-09-04,ANSGR,Completed,True,11351.0,8.809654000195962,99998.38255622437,0.0
2023-09-07,BRSAN,Completed,False,-119.0,654.5,102935.0,0.0
2023-09-07,CIMSA,Completed,False,-4069.0,31.203201853143007,100259.23407754504,0.0
2023-09-11,MGROS,Completed,False,-354.0,365.0684210625944,100624.08755875379,0.0
2023-09-21,DOAS,Completed,False,-515.0,172.68518013581075,99903.95955881233,0.0
2023-09-25,ANSGR,Completed,False,-11351.0,11.288363928280887,99998.38255622437,0.0
2023-10-03,ALARK,Completed,False,-808.0,124.67756298184396,100117.14652227705,0.0
2023-10-03,FROTO,Completed,False,-1575.0,72.46810096013108,100015.20349196917,0.0
2023-10-03,PGSUS,Completed,False,-594.0,172.6205291748047,99887.19625854492,0.0
2023-10-03,TKNSA,Completed,False,-3866.0,25.920000076293945,100902.60147476196,0.0
2023-10-03,BRSAN,Completed,True,129.0,799.9000244140625,103187.10314941406,0.0
2023-10-03,ANSGR,Completed,True,8158.0,12.257108112939148,99993.48798535757,0.0
2023-10-03,CIMSA,Completed,True,2626.0,38.28041200942136,100524.36193674049,0.0
2023-10-03,AKCNS,Completed,True,569.0,175.60187106662326,99917.46463690864,0.0
2023-10-03,TUPRS,Completed,True,832.0,120.23940775595273,100039.18725295267,0.0
2023-10-03,DOAS,Completed,True,535.0,188.7138601312256,100961.9151702057,0.0
2023-10-03,ANHYT,Completed,True,2389.0,41.863858644337526,100012.75830132235,0.0
2023-10-03,ISCTR,Completed,True,10463.0,9.601348982798823,100458.91440702409,0.0
2023-10-03,AYGAZ,Completed,True,733.0,136.4181596531825,99994.51102578278,0.0
2023-10-10,CIMSA,Completed,False,-2626.0,34.25090037631314,100524.36193674049,0.0
2023-10-17,AYGAZ,Completed,False,-733.0,123.51829349377972,99994.51102578278,0.0
2023-10-17,ISCTR,Completed,False,-10463.0,8.621318284665218,100458.91440702409,0.0
2023-10-17,TUPRS,Completed,False,-832.0,107.71128964458646,100039.18725295267,0.0
2023-10-23,TTRAK,Completed,False,-127.0,683.6266342941358,99493.15567492283,0.0
2023-11-02,TTRAK,Completed,True,161.0,628.4269350809907,101176.7365480395,0.0
2023-11-02,CIMSA,Completed,True,2983.0,33.855475131431376,100990.88231705979,0.0
2023-11-02,TUPRS,Completed,True,902.0,111.45445151422172,100531.91526582799,0.0
2023-11-02,OTKAR,Completed,True,257.0,391.56164798890615,100631.34353314887,0.0
2023-11-02,MGROS,Completed,True,300.0,342.69784168407006,102809.35250522102,0.0
2023-11-06,ANHYT,Completed,False,-2389.0,37.17135542283968,100012.75830132235,0.0
2023-11-14,AKCNS,Completed,False,-569.0,151.28777157441257,99917.46463690864,0.0
2023-11-14,CIMSA,Completed,False,-2983.0,30.127231086451403,100990.88231705979,0.0
2023-11-27,ANSGR,Completed,False,-8158.0,15.45214031195877,99993.48798535757,0.0
2023-11-30,BRSAN,Completed,False,-129.0,697.0,103187.10314941406,0.0
2023-12-04,BRSAN,Completed,True,147.0,679.0,99813.0,0.0
2023-12-04,ANSGR,Completed,True,6854.0,14.69033633771074,100687.5652586694,0.0
2023-12-04,CIMSA,Completed,True,3100.0,32.386777047330405,100399.00884672426,0.0
2023-12-04,FROTO,Completed,True,1413.0,70.90005885481102,100181.78316184797,0.0
2023-12-04,SKBNK,Completed,True,14337.0,7.003986133662564,100416.14919832018,0.0
2023-12-06,DOAS,Completed,False,-535.0,169.1118859238963,100961.9151702057,0.0
2023-12-07,TTRAK,Completed,False,-161.0,561.7628090115176,101176.7365480395,0.0
2023-12-13,ANSGR,Completed,False,-6854.0,12.962061498971895,100687.5652586694,0.0
2023-12-13,CIMSA,Completed,False,-3100.0,28.90331367465148,100399.00884672426,0.0
2023-12-14,FROTO,Completed,False,-1413.0,64.36588509386227,100181.78316184797,0.0
