entry_date,exit_date,ticker,bars,pnl,pnl_net
2023-05-03,2023-06-06,DOAS,23,26178.438455867166,26178.438455867166
2023-04-04,2023-06-06,THYAO,42,35744.57319451695,35744.57319451695
2023-06-02,2023-06-12,BRSAN,6,37650.0,37650.0
2023-06-02,2023-06-13,PGSUS,7,26309.0291595459,26309.0291595459
2023-04-04,2023-06-27,MGROS,57,30230.83588980428,30230.83588980428
2023-04-04,2023-06-27,TOASO,57,27989.10746008101,27989.10746008101
2023-06-02,2023-07-04,AKCNS,19,17961.757657389,17961.757657389
2023-06-02,2023-07-07,CIMSA,22,27676.436829917424,27676.436829917424
2023-06-02,2023-07-10,TTRAK,23,26028.358823600895,26028.358823600895
2023-07-04,2023-07-21,DOAS,13,26915.07063881251,26915.07063881251
2023-07-04,2023-07-24,MGROS,14,25538.990969238293,25538.990969238293
2023-07-04,2023-07-25,AYGAZ,15,29744.214464963683,29744.214464963683
2023-07-04,2023-07-31,PGSUS,19,30069.04084777832,30069.04084777832
2023-07-04,2023-08-08,THYAO,25,27156.61271289974,27156.61271289974
2023-07-04,2023-08-11,BRSAN,28,37414.99786376953,37414.99786376953
2023-08-02,2023-08-23,TTRAK,15,26394.2644903135,26394.2644903135
2023-08-02,2023-08-24,DOAS,16,34316.75462324354,34316.75462324354
2023-08-02,2023-09-04,AYGAZ,22,7481.918658950627,7481.918658950627
2023-07-04,2023-09-04,TOASO,43,9478.620191053265,9478.620191053265
2023-09-04,2023-09-07,BRSAN,3,-25049.5,-25049.5
2023-08-02,2023-09-07,CIMSA,25,26706.59426289385,26706.59426289385
2023-08-02,2023-09-11,MGROS,27,28610.133497404622,28610.133497404622
2023-09-04,2023-09-21,DOAS,13,-10971.091788869797,-10971.091788869797
2023-09-04,2023-09-25,ANSGR,15,28135.83639369198,28135.83639369198
2023-09-04,2023-10-03,ALARK,21,622.3243670528693,622.3243670528693
2023-07-04,2023-10-03,FROTO,64,14122.055520237285,14122.055520237285
2023-08-02,2023-10-03,PGSUS,43,2649.3980712890625,2649.3980712890625
2023-09-04,2023-10-03,TKNSA,21,-695.8811798095703,-695.8811798095703
2023-10-03,2023-10-10,CIMSA,5,-10581.49754854219,-10581.49754854219
2023-10-03,2023-10-17,AYGAZ,10,-9455.601894842235,-9455.601894842235
2023-10-03,2023-10-17,ISCTR,10,-10254.061194571912,-10254.061194571912
2023-10-03,2023-10-17,TUPRS,10,-10423.394268656746,-10423.394268656746
2023-09-04,2023-10-23,TTRAK,35,-12672.57311956759,-12672.57311956759
2023-10-03,2023-11-06,ANHYT,24,-11210.39019615835,-11210.39019615835
