date,cash,value
2024-09-19,1230178.5921782576,1776604.9432067
2024-09-20,1230178.5921782576,1778387.9635275924
2024-09-23,1230178.5921782576,1767770.2135562026
2024-09-24,1230178.5921782576,1765589.2566012465
2024-09-25,1230178.5921782576,1753124.8115023696
2024-09-26,1230178.5921782576,1755792.2593020522
2024-09-27,1230178.5921782576,1745885.1164073073
2024-09-30,1230178.5921782576,1753769.281703862
2024-10-01,1230178.5921782576,1724394.304780873
2024-10-02,1102495.497277494,1689624.1789734322
2024-10-03,1189945.700831504,1677888.0143423988
2024-10-04,1279607.7901626644,1678946.2786518154
2024-10-07,1279607.7901626644,1667487.9996658382
2024-10-08,1368965.7067352352,1664324.9846378383
2024-10-09,1368965.7067352352,1669858.142417532
2024-10-10,1368965.7067352352,1665577.5496555385
2024-10-11,1458034.4635940609,1663264.4695659694
2024-10-14,1637109.3166023311,1672115.0388294277
2024-10-15,1637109.3166023311,1656753.4259296474
2024-10-16,1637109.3166023311,1655929.7259555873
2024-10-17,1637109.3166023311,1650714.4670673427
2024-10-18,1637109.3166023311,1636294.3465782222
2024-10-21,1637109.3166023311,1635315.4630561885
2024-10-22,1727286.737725946,1650181.906511041
2024-10-23,1727286.737725946,1658853.5592801298
2024-10-24,1727286.737725946,1665765.0112549986
2024-10-25,1727286.737725946,1663591.1462647642
2024-10-28,1727286.737725946,1654771.715022775
2024-10-30,1727286.737725946,1659711.5755727019
2024-10-31,1727286.737725946,1661558.5046441283
2024-11-01,1727286.737725946,1661198.7132813658
2024-11-04,1658054.2246868603,1658054.2246868603
2024-11-05,1658054.2246868603,1658054.2246868603
2024-11-06,1658054.2246868603,1658054.2246868603
2024-11-07,1658054.2246868603,1658054.2246868603
2024-11-08,1658054.2246868603,1658054.2246868603
2024-11-11,1658054.2246868603,1658054.2246868603
2024-11-12,1658054.2246868603,1658054.2246868603
2024-11-13,1658054.2246868603,1658054.2246868603
2024-11-14,1658054.2246868603,1658054.2246868603
2024-11-15,1658054.2246868603,1658054.2246868603
2024-11-18,1658054.2246868603,1658054.2246868603
2024-11-19,1658054.2246868603,1658054.2246868603
2024-11-20,1658054.2246868603,1658054.2246868603
2024-11-21,1658054.2246868603,1658054.2246868603
2024-11-22,1658054.2246868603,1658054.2246868603
2024-11-25,1658054.2246868603,1658054.2246868603
2024-11-26,1658054.2246868603,1658054.2246868603
2024-11-27,1658054.2246868603,1658054.2246868603
2024-11-28,1658054.2246868603,1658054.2246868603
2024-11-29,1658054.2246868603,1658054.2246868603
2024-12-02,1658054.2246868603,1658054.2246868603
2024-12-03,1658054.2246868603,1658054.2246868603
2024-12-04,1658054.2246868603,1658054.2246868603
2024-12-05,1658054.2246868603,1658054.2246868603
2024-12-06,1658054.2246868603,1658054.2246868603
2024-12-09,1658054.2246868603,1658054.2246868603
2024-12-10,1658054.2246868603,1658054.2246868603
2024-12-11,1658054.2246868603,1658054.2246868603
2024-12-12,1658054.2246868603,1658054.2246868603
2024-12-13,1658054.2246868603,1658054.2246868603
2024-12-16,1658054.2246868603,1658054.2246868603
2024-12-17,1658054.2246868603,1658054.2246868603
2024-12-18,1658054.2246868603,1658054.2246868603
2024-12-19,1658054.2246868603,1658054.2246868603
2024-12-20,1658054.2246868603,1658054.2246868603
2024-12-23,1658054.2246868603,1658054.2246868603
2024-12-24,1658054.2246868603,1658054.2246868603
2024-12-24,1658054.2246868603,1658054.2246868603
2024-12-26,1658054.2246868603,1658054.2246868603
2024-12-27,1658054.2246868603,1658054.2246868603
2024-12-30,1658054.2246868603,1658054.2246868603
