factor,signal_date,date,n_stocks,raw_ic,rank_ic
pe,2025-04-30,2025-05-31,55,-0.1288326362460123,0.2293650793650794
pe,2025-05-31,2025-06-30,55,0.008705159490855397,0.29372294372294383
pe,2025-06-30,2025-07-31,55,0.11064494420801325,0.04805194805194806
pe,2025-07-31,2025-08-31,55,-0.22200116195747327,-0.15252525252525254
pe,2025-08-31,2025-09-30,55,0.020782607815263882,-0.2314574314574315
pe,2025-09-30,2025-10-31,55,0.04703605938111532,0.11428571428571431
pe,2025-10-31,2025-11-30,55,0.03522377395214366,0.2006493506493507
pe,2025-11-30,2025-12-31,58,-0.053270039045567666,-0.2273524254821742
pe,2025-12-31,2026-01-31,58,0.14490635698670562,0.10836998984896491
pe,2026-01-31,2026-02-28,58,-0.0836778883445944,-0.1882247992863515
pe,2026-02-28,2026-03-31,51,0.1855292694004749,0.05972850678733031
pe,2026-03-31,2026-04-30,51,-0.09545923271107912,-0.1609049773755656
pe,2026-04-30,2026-05-31,51,-0.19092287665519705,-0.20950226244343892
momentum,2001-05-31,2001-06-30,45,0.14075337555028658,0.08339920948616601
momentum,2001-06-30,2001-07-31,45,0.38807684124786745,0.3281054543833998
momentum,2001-07-31,2001-08-31,47,-0.3155062554717789,0.18131884023650363
momentum,2001-08-31,2001-09-30,47,0.21988667414952406,0.1830481036077706
momentum,2001-09-30,2001-10-31,47,-0.35703542061088556,-0.3169518963922294
momentum,2001-10-31,2001-11-30,47,-0.36211323116229194,-0.34876123861817276
momentum,2001-11-30,2001-12-31,47,-0.30741916891588267,-0.17345552318543075
momentum,2001-12-31,2002-01-31,47,-0.19740364675839528,-0.10684551341350601
momentum,2002-01-31,2002-02-28,47,0.20681967494116976,0.27215171587794085
momentum,2002-02-28,2002-03-31,47,0.011078673391899465,-0.0408304915572932
momentum,2002-03-31,2002-04-30,48,-0.0818106368480533,-0.01557793036641753
momentum,2002-04-30,2002-05-31,48,-0.07201150286385365,-0.03875379939209726
momentum,2002-05-31,2002-06-30,48,0.08797288124081926,0.04722101606600087
momentum,2002-06-30,2002-07-31,48,-0.02438716716946483,0.061658706035605734
momentum,2002-07-31,2002-08-31,48,-0.16478682136587103,-0.2153228214758827
momentum,2002-08-31,2002-09-30,48,0.10840398186803993,0.1468233506660607
momentum,2002-09-30,2002-10-31,48,-0.43714865614010734,-0.43996960486322184
momentum,2002-10-31,2002-11-30,48,0.03737038066316142,0.0694745983499783
momentum,2002-11-30,2002-12-31,48,-0.013952199911485925,0.02377333912288319
