factor,signal_date,ticker,method,weight
roe,2023-10-31,DOHOL,portfolio_sort,-0.06666666666666667
roe,2023-10-31,EKGYO,portfolio_sort,-0.06666666666666667
roe,2023-10-31,ENKAI,portfolio_sort,-0.06666666666666667
roe,2023-10-31,GOZDE,portfolio_sort,-0.06666666666666667
roe,2023-10-31,GUBRF,portfolio_sort,-0.06666666666666667
roe,2023-10-31,HURGZ,portfolio_sort,-0.06666666666666667
roe,2023-10-31,INDES,portfolio_sort,-0.06666666666666667
roe,2023-10-31,KRDMD,portfolio_sort,-0.06666666666666667
roe,2023-10-31,PETKM,portfolio_sort,-0.06666666666666667
roe,2023-10-31,SELEC,portfolio_sort,-0.06666666666666667
roe,2023-10-31,VESTL,portfolio_sort,-0.06666666666666667
roe,2023-11-30,AKBNK,portfolio_sort,0.06666666666666667
roe,2023-11-30,ALARK,portfolio_sort,0.06666666666666667
roe,2023-11-30,ANHYT,portfolio_sort,0.06666666666666667
roe,2023-11-30,CLEBI,portfolio_sort,0.06666666666666667
roe,2023-11-30,DOAS,portfolio_sort,0.06666666666666667
roe,2023-11-30,FROTO,portfolio_sort,0.06666666666666667
roe,2023-11-30,GARAN,portfolio_sort,0.06666666666666667
roe,2023-11-30,ISGYO,portfolio_sort,0.06666666666666667
roe,2023-11-30,IZMDC,portfolio_sort,0.06666666666666667
roe,2023-11-30,PGSUS,portfolio_sort,0.06666666666666667
roe,2023-11-30,TKNSA,portfolio_sort,0.06666666666666667
roe,2023-11-30,TOASO,portfolio_sort,0.06666666666666667
roe,2023-11-30,TTRAK,portfolio_sort,0.06666666666666667
roe,2023-11-30,TUPRS,portfolio_sort,0.06666666666666667
roe,2023-11-30,YKBNK,portfolio_sort,0.06666666666666667
roe,2023-11-30,ADEL,portfolio_sort,-0.06666666666666667
roe,2023-11-30,AKGRT,portfolio_sort,-0.06666666666666667
roe,2023-11-30,ASELS,portfolio_sort,-0.06666666666666667
roe,2023-11-30,BANVT,portfolio_sort,-0.06666666666666667
roe,2023-11-30,DOHOL,portfolio_sort,-0.06666666666666667
