date,mad_3,mad_5,mad_10,mad_20,mad_50,mad_100,mad_200,mad_400,mad_600,mad_800,mad_1000
2001-06-30,0.0047618715299755365,0.013070958498371255,0.017639429177764843,-0.013698308681126536,-0.034467293474232275,0.09901135533084271,0.034953718690236,,,,
2001-07-31,0.00784421096269261,0.013665391846630737,0.016401516578025133,0.021847212092147572,-0.07285057846509169,-0.04062669043161782,-0.06868499209557855,,,,
2001-08-31,-0.015647135229286513,-0.02094306077941188,-0.00228652506834659,0.01974425046306627,-0.0064827255688243435,-0.07316968470245522,-0.03392112369651401,-0.21452808574246407,,,
2001-09-30,0.01598746747460189,0.013330581473866454,0.003990512351748743,-0.09929335873091627,-0.17454961013109593,-0.25105470628768833,-0.23233864787086567,-0.37460178139540046,,,
2001-10-31,-0.004638816581047589,0.013142666207631049,0.04575109974605307,0.12748099766105558,0.12170977504325298,0.03809178015036907,0.003921656863722145,-0.16289032148932914,,,
2001-11-30,0.034915543374915314,0.011486890712255393,-0.0036023066665565873,0.047611604936889096,0.21943699808035677,0.22762352359394944,0.1792647506575642,0.017003871831372086,,,
2001-12-31,0.021952411343898692,0.04379883810827989,0.06324728020328507,0.10176551295035074,0.22277550017433323,0.37444750939991245,0.3502930985328936,0.22957752372790075,,,
2002-01-31,0.03786841795345408,0.036275039236847384,0.034050617180146237,-0.0051830648431858695,0.04146214361965872,0.22657925987717897,0.23417505548223172,0.19594793185347514,,,
2002-02-28,-0.00021703240010650937,-0.0027691524395612177,-0.02481945311987177,-0.06560666853330177,-0.12768813215250685,-0.033007912247923654,0.025046007470965748,0.008212635805811885,,,
2002-03-31,-0.008839998356305112,-0.010329362761899996,0.021872529963883336,0.032618455859705575,-0.009516587279331468,-0.025450153348626214,0.08788205661715365,0.07644949318933358,,,
2002-04-30,-0.02320718262896193,-0.025684835343231183,-0.038043599788315396,-0.03932985177926196,-0.008877027386797076,-0.06069906475947673,0.05763598806353154,0.05867080372589717,,,
2002-05-31,-0.015355366756937716,-0.03329803139133847,-0.033899784263097144,-0.06649170390170878,-0.09915696344959857,-0.11598715903880819,-0.05353786633562252,-0.03280916729297523,,,
2002-06-30,0.041574623392584,0.03999479865478284,0.023111936604124805,-0.022608869388946573,-0.11803782625757009,-0.15396872275185025,-0.1469049330248524,-0.1119137757459211,-0.21714012840800234,,
2002-07-31,-0.0016579614143376054,0.011843803714859602,0.0077903855871499506,0.05244920407901099,0.045173028992999686,-0.041209139210588885,-0.08587669587496105,-0.02770135312291322,-0.12898818083531272,,
2002-08-31,0.014979179054936287,0.0171006570619745,0.00032481974238951494,-0.04119313553591797,-0.0183403069709015,-0.07962526291396621,-0.15054421871975376,-0.09169879076138554,-0.17040724026954635,,
2002-09-30,-0.005212705234049708,-0.014396933830119973,-0.030566823770625917,-0.04048597217911232,-0.08650183292490421,-0.09948490449232839,-0.19476552341936093,-0.15599396844660363,-0.21120320017149952,,
2002-10-31,-0.002351750407925346,-0.007064530265665225,0.011977611037689462,0.0671475736398035,0.090818196802678,0.07183608319336843,-0.02902957654003857,-0.027068076929203544,-0.06361317120995147,,
