ticker,yahoo_symbol,long_name,currency,quote_type,trailing_pe_snapshot,forward_pe_snapshot,roe_snapshot,market_cap_snapshot,snapshot_downloaded_at
TRGYO,TRGYO.IS,Torunlar Gayrimenkul Yatirim Ortakligi A.S.,TRY,EQUITY,10.734767,2.1936035,0.06611,89849995264.0,2026-05-28T20:48:38
ISGYO,ISGYO.IS,Is Gayrimenkul Yatirim Ortakligi A.S.,TRY,EQUITY,,47.581394,-0.00868,19616024576.0,2026-05-28T20:48:40
EKGYO,EKGYO.IS,Emlak Konut Gayrimenkul Yatirim Ortakligi A.S.,TRY,EQUITY,119.37501,955.00006,0.02378,69927395328.0,2026-05-28T20:48:43
SNGYO,SNGYO.IS,Sinpas Gayrimenkul Yatirim Ortakligi A.S.,TRY,EQUITY,16.318182,,0.01979,14348151808.0,2026-05-28T20:48:45
AKFEN,AKFEN.IS,,,NONE,,,,,2026-05-28T20:48:48
ALARK,ALARK.IS,Alarko Holding A.S.,TRY,EQUITY,22.923628,3.7563553,0.01849,41736302592.0,2026-05-28T20:48:50
ASELS,ASELS.IS,ASELSAN Elektronik Sanayi ve Ticaret Anonim Sirketi,TRY,EQUITY,53.181816,18.823175,0.14837,1733939953664.0,2026-05-28T20:48:53
YAZIC,YAZIC.IS,,,MUTUALFUND,,,,,2026-05-28T20:48:55
NTHOL,NTHOL.IS,Net Holding A.S.,TRY,EQUITY,11.27928,,0.029790001,17128895488.0,2026-05-28T20:48:57
GUBRF,GUBRF.IS,Gübre Fabrikalari Türk Anonim Sirketi,TRY,EQUITY,32.894737,1571.4286,0.17233999,183699996672.0,2026-05-28T20:49:00
CIMSA,CIMSA.IS,Çimsa Çimento Sanayi ve Ticaret A.S.,TRY,EQUITY,14.148046,8.441667,0.10502,47894192128.0,2026-05-28T20:49:02
ECILC,ECILC.IS,"EIS Eczacibasi Ilaç, Sinai ve Finansal Yatirimlar Sanayi ve Ticaret A.S.",TRY,EQUITY,,,-0.0145000005,60919623680.0,2026-05-28T20:49:05
AKSA,AKSA.IS,Aksa Akrilik Kimya Sanayii A.S.,TRY,EQUITY,9.303572,16.806452,0.13522,40481697792.0,2026-05-28T20:49:08
ADEL,ADEL.IS,Adel Kalemcilik Ticaret ve Sanayi A.S.,TRY,EQUITY,,,-0.20416,8601862144.0,2026-05-28T20:49:10
TRCAS,TRCAS.IS,Turcas Holding A.S.,TRY,EQUITY,8.303249,33.82353,0.100880004,11368857600.0,2026-05-28T20:49:13
CLEBI,CLEBI.IS,Çelebi Hava Servisi A.S.,TRY,EQUITY,12.209859,178.55605,0.37543,40265101312.0,2026-05-28T20:49:18
BAGFS,BAGFS.IS,Bagfas Bandirma Gubre Fabrikalari A.S.,TRY,EQUITY,,30.413042,-0.053379998,3777299968.0,2026-05-28T20:49:21
AKCNS,AKCNS.IS,Akçansa Çimento Sanayi ve Ticaret Anonim Sirketi,TRY,EQUITY,68.93939,7.9545455,0.02614,43554209792.0,2026-05-28T20:49:23
ANELE,ANELE.IS,Anel Elektrik Proje Taahhüt ve Ticaret Anonim Sirketi,TRY,EQUITY,,,-0.43987,25201500160.0,2026-05-28T20:49:25
BANVT,BANVT.IS,Banvit Bandirma Vitaminli Yem Sanayii Anonim Sirketi,TRY,EQUITY,,,-0.34789002,15003536384.0,2026-05-28T20:49:28
BMEKS,BMEKS.IS,,,NONE,,,,,2026-05-28T20:49:31
BOLUC,BOLUC.IS,,,NONE,,,,,2026-05-28T20:49:33
BRISA,BRISA.IS,Brisa Bridgestone Sabanci Lastik Sanayi ve Ticaret A.S.,TRY,EQUITY,,5.5470138,-0.01699,28619962368.0,2026-05-28T20:49:35
BRSAN,BRSAN.IS,Borusan Birlesik Boru Fabrikalari Sanayi ve Ticaret A.S.,TRY,EQUITY,37.877613,,0.05135,69326307328.0,2026-05-28T20:49:37
HURGZ,HURGZ.IS,Hürriyet Gazetecilik ve Matbaacilik A.S.,TRY,EQUITY,,,-0.4377,4593920000.0,2026-05-28T20:49:39
INDES,INDES.IS,Indeks Bilgisayar Sistemleri Mühendislik Sanayi ve Ticaret Anonim Sirketi,TRY,EQUITY,11.947917,,0.098950006,8602500096.0,2026-05-28T20:49:42
KORDS,KORDS.IS,Kordsa Teknik Tekstil A.S.,TRY,EQUITY,,31.75373,-0.07535,16554423296.0,2026-05-28T20:49:45
SELEC,SELEC.IS,Selçuk Ecza Deposu Ticaret ve Sanayi A.S.,TRY,EQUITY,55.5914,12.457831,0.03838,64211402752.0,2026-05-28T20:49:48
TKNSA,TKNSA.IS,Teknosa Iç ve Dis Ticaret Anonim Sirketi,TRY,EQUITY,,2.1957448,-1.81153,4148640000.0,2026-05-28T20:49:50
